"Sheet","No","Video Title (ชื่อคลิป)","URL / Timestamp Link (ลิงก์วิดีโอ)","Summary & Key Content (เนื้อหาสรุป)","Keywords / Tag","Keyword Code","Category"
"AllVideo","1","🔒 ลดความเสี่ยงข้อมูลรั่วไหล… โดยไม่ต้องแก้ระบบหลังบ้าน","https://www.youtube.com/watch?v=R6vPF77BCJ4","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""🔒 ลดความเสี่ยงข้อมูลรั่วไหล… โดยไม่ต้องแก้ระบบหลังบ้าน"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Security, Cybersecurity, Data Protection","sec01","sec"
"AllVideo","2","IDC สำคัญกับ SMEs เราอย่างไร","https://www.youtube.com/watch?v=coqjsdDsbUU","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""IDC สำคัญกับ SMEs เราอย่างไร"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Prajan, Knowledge Base, Video Content","pdpa01","pdpa"
"AllVideo","3","🎯 DPO ไม่ต้องทำงานคนเดียวอีกต่อไป!","https://www.youtube.com/watch?v=VgDym4qiVNk","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""🎯 DPO ไม่ต้องทำงานคนเดียวอีกต่อไป!"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","DPO, ผู้ควบคุมข้อมูล","dpo01","dpo"
"AllVideo","4","การโจมตีโรงไฟฟ้าในยูเครนปี 2015","https://www.youtube.com/watch?v=lxj3KOweeVE","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""การโจมตีโรงไฟฟ้าในยูเครนปี 2015"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Security, Cybersecurity, Data Protection","sec02","sec"
"AllVideo","5","Wannacry มัลแวร์ Ransomware เรียกค่าไถ่ ทำไงดี ตอบ ทำอะไรไม่ได้ถ้าโดนไปแล้ว จริงหรือ ??","https://www.youtube.com/watch?v=gUt9i6yZL0U","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""Wannacry มัลแวร์ Ransomware เรียกค่าไถ่ ทำไงดี ตอบ ทำอะไรไม่ได้ถ้าโดนไปแล้ว จริงหรือ ??"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Security, Cybersecurity, Data Protection","sec03","sec"
"AllVideo","6","เรียน Cyber Security เรียนแบบโจร รูปแบบ #cybersecurity","https://www.youtube.com/watch?v=3Alkb28nLOM","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""เรียน Cyber Security เรียนแบบโจร รูปแบบ #cybersecurity"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Security, Cybersecurity, Data Protection","sec04","sec"
"AllVideo","7","หน่วยงานไม่มั่นใจว่าทำ PDPA ครบหรือไม่  #pdpa","https://www.youtube.com/watch?v=8fUYqD2jYq8","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""หน่วยงานไม่มั่นใจว่าทำ PDPA ครบหรือไม่  #pdpa"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa02","pdpa"
"AllVideo","8","แนวทางทำPDPA 10 ด้านสอดคล้องกับมาตรฐานPDPA   Privacy Maturity Model","https://www.youtube.com/watch?v=l4nXHqeoV00","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""แนวทางทำPDPA 10 ด้านสอดคล้องกับมาตรฐานPDPA   Privacy Maturity Model"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa03","pdpa"
"AllVideo","9","❤️อบรม PDPA ภาคปฏิบัติ มหาวิทยาลัยเทคโนโลยีมหานคร (อบรม Online)  วันที่ 21 มีนาคม 2568 #pdpa","https://www.youtube.com/watch?v=3pdYibLcXsA","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""❤️อบรม PDPA ภาคปฏิบัติ มหาวิทยาลัยเทคโนโลยีมหานคร (อบรม Online)  วันที่ 21 มีนาคม 2568 #pdpa"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Training, Workshop","train01","train"
"AllVideo","10","รู้หรือไม่? กฎหมายไทย 4 ฉบับนี้ ช่วยเสริมความแข็งแกร่งด้าน Cybersecurity ให้กับองค์กรของคุณ","https://www.youtube.com/watch?v=JJ6L_AK7Fxo","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""รู้หรือไม่? กฎหมายไทย 4 ฉบับนี้ ช่วยเสริมความแข็งแกร่งด้าน Cybersecurity ให้กับองค์กรของคุณ"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Security, Cybersecurity, Data Protection, Compliance, กฎหมาย","sec05","sec"
